matchId,date,patch,durationMin,champion,position,win,kills,deaths,assists,kda,cs,csPerMin,goldPerMin,dmgPerMin,teamDmgPct,killParticipation,visionPerMin,controlWards,soloKills,timeDeadSec,deadPct,laneMinions10,laneGoldExpAdv,earlyLaneAdv,maxCsAdvOpp,visionAdvOpp,goldDiff10,csDiff10,xpDiff10,goldDiff14,csDiff14,xpDiff14,firstTowerKilledTime,turretPlates,doubleKills,tripleKills,quadraKills,pentaKills,surrenderEnd,earlySurrender
NA1_5143604599,1730268032,14.21,41.2,Kaisa,BOTTOM,0,5,9,6,1.22,333,8.08,405.2,533.3,19.6,44.0,0.72,0,0,271,11.0,51,0,0,98,-0.04,-192,6,-431,217,9,-183,0,2,0,0,0,0,0,0
NA1_5143627320,1730270856,14.21,28.7,Caitlyn,BOTTOM,0,2,6,1,0.5,198,6.89,365.2,517.6,15.1,21.4,0.45,0,1,155,9.0,42,0,0,0,-0.2,-1025,-37,-1032,-2153,-41,-1256,0,2,0,0,0,0,0,0
NA1_5146496763,1730677647,14.21,29.1,Caitlyn,BOTTOM,1,8,3,5,4.33,231,7.93,498.6,964.1,26.5,40.6,0.79,1,0,68,3.9,74,0,0,36,0.62,-106,17,333,975,32,641,765.0,5,1,0,0,0,0,0
NA1_5146529113,1730680384,14.21,30.4,Caitlyn,BOTTOM,0,9,9,4,1.44,193,6.34,379.7,946.6,24.3,40.6,0.91,0,0,262,14.3,59,0,0,14,0.33,487,6,2,-309,-9,-517,0,1,3,0,0,0,0,0
NA1_5146560947,1730682705,14.21,32.1,Ashe,BOTTOM,1,7,8,18,3.12,207,6.46,450.9,773.1,18.8,64.1,1.01,0,0,265,13.8,53,0,0,26.7,2.97,626,-12,403,172,-11,62,0,2,0,0,0,0,0,0
NA1_5151344512,1731268112,14.22,25.9,Caitlyn,BOTTOM,1,7,1,1,8,242,9.33,525.1,728.9,21.1,29.6,1.32,2,0,36,2.3,78,1,1,97,3.09,1155,46,1196,1665,59,1299,890.0,3,2,0,0,0,0,0
NA1_5151369355,1731270408,14.22,1.8,Caitlyn,BOTTOM,0,0,0,0,0,0,0.0,279.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,1
NA1_5151376660,1731271214,14.22,16.4,Caitlyn,BOTTOM,1,4,0,2,6,139,8.48,450.1,734.3,26.1,25.0,0.36,1,1,0,0.0,67,0,0,21,0.06,64,0,-351,237,3,-336,757.0,2,0,0,0,0,1,0
NA1_5151393590,1731272695,14.22,28.3,Caitlyn,BOTTOM,1,8,3,5,4.33,234,8.28,517.6,840.8,21.8,48.1,1.04,2,0,104,6.1,60,0,0,68,0.65,467,6,259,-191,7,-189,954.0,1,2,0,0,0,0,0
NA1_5151421055,1731274825,14.22,34.4,Caitlyn,BOTTOM,0,4,6,3,1.17,266,7.74,407.7,636.1,19.5,33.3,0.8,1,0,173,8.4,60,0,0,18,0.0,-1129,-11,-385,-1210,-3,-45,0,3,1,0,0,0,0,0
NA1_5152577490,1731387081,14.22,34.0,Ashe,BOTTOM,1,6,6,15,3.5,216,6.35,390.7,895.0,18.2,51.2,0.77,2,0,168,8.2,58,0,0,5,0.65,403,-13,-24,815,-9,561,0,1,0,0,0,0,0,0
NA1_5152618779,1731389753,14.22,28.6,Caitlyn,BOTTOM,1,6,4,7,3.25,204,7.14,452.0,902.4,25.1,46.4,0.48,0,1,120,7.0,60,0,0,22.0,0.1,-220,11,633,442,8,1173,771.0,3,0,0,0,0,0,0
